Title,Description
Google stock process a good deal,"There will be criticism over some aspects of Google #39;s highly publicized public stock offering, but it shouldn #39;t overshadow what the Internet search engine company managed to accomplish."
Report: Southwest to cut 88 flights this fall,"Southwest Airlines is planning to cut as many as 88 flights from its schedule to free up the planes for more profitable markets, according to a published report."
Chief of McDonald #39;s Has More Surgery,"Charles H. Bell, the chief executive of the McDonald #39;s Corporation, is recuperating after another surgery, the company said on Saturday."
Woolworths Second-Half Net Rises 12 on Cost Cuts (Update3),Woolworths Ltd. #39;s second-half profit rose 12 percent after Australia #39;s biggest grocer cut the cost of getting goods to its shops and opened 37 new supermarkets and liquor outlets.
Facts on Stem Cells,"This summer marks the third anniversary of President Bush #39;s announcement of his policy on stem cell research. In the intervening years, the subject has become a polarizing flash point for American politics and a focal point for the presidential campaign."
FCC Says It Extended Discounted Phone-Line Rates,"T amp;T, MCI and other telephone companies that provide local calling by renting other carriers #39; equipment have received a six-month extension on discounted leasing rates while regulators work on new competition rules."
Fresh sign of housing market cooling,"House prices in England and Wales fell slightly in August, property research company Hometrack says, offering another sign the market may be cooling in the face of higher interest rates."
"As Congressional Budget Chief, Former Bush Economic Aide Isn #39;t &lt;b&gt;...&lt;/b&gt;",Congressional Democrats were deeply suspicious when Republican leaders selected Douglas J. Holtz-Eakin to take over the nonpartisan Congressional Budget Office in early 2003.
Oil steady in edgy Asia trading,SINGAPORE -- Oil prices remained below the \$50 a barrel mark in Asian trading Monday but fears of escalating violence in Iraq kept traders on edge.
Singapore aims to lift birth rate,"Singapore will give families financial incentives to boost record-low birth rates, says new PM Lee Hsien Loong."
Oil steady after failure to hit \$50,Oil prices have steadied after sliding sharply from record highs late last week but the tightening siege on rebels holed up in a shrine in Iraq has heightened uncertainty in the market.
Property prices continue to drop,"House prices fell for the second month running during August as the market continued to feel the effects of rising interest rates, figures show."
Missile shield talks lose-lose case for PM,There are times in the life of a minority government when the biggest hurdle on the horizon is not a vote it stands to lose but rather one it can #39;t avoid winning.
"Framingham health center seeking new, larger home","The Framingham Community Health Center, which just opened in March, is hoping to relocate and expand to serve a fast-growing population of low-income, mostly Brazilian patients."
Virgin Blue budget airline announces fuel surcharge hike,Australian budget airline Virgin Blue announced Monday it will increase the fuel surcharge it adds to ticket prices from Aug. 26 because of soaring oil prices.
China revises GDP growth rate to 9.69 in Jan-June,"China has revised upward its gross domestic product (GDP) growth to 9.69 per cent during the first half of this year due to higher growth in service industries, the state media reported on Monday."
UPDATE: Australia #39;s Sonic Targets More Europe Expansion,"SYDNEY (Dow Jones)--Citing a lack of growth opportunities in its home market, Australian pathology and radiology company Sonic Healthcare Ltd."
Doctors say US plan will alienate,Health care professionals across the state say a new federal program that will give \$1 billion to hospitals nationwide that provide emergency care to undocumented 
"Kroger Profit Edges Up, Misses Forecast"," NEW YORK (Reuters) - Kroger Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KR.N target=/stocks/quickinfo/fullquote""&gt;KR.N&lt;/A&gt;, the top U.S.  grocer, on Tuesday reported that quarterly profit edged up as  it kept a tight rein on expenses and sales rebounded."
DoCoMo and Motorola talk phones,"Japanese mobile phone company DoCoMo is in talks to buy 3G handsets from Motorola, the world's second largest handset maker."
Australia #39;s Billabong year net profit up 14 per cent,Surfwear maker Billabong International Ltd said today its annual net profit rose 14 per cent on strong sales. Net profit for the year ended June 30 rose to A\$87 million (NZ\$94.
HK walks out of 68-month deflation cycle,"The latest composite consumer price index will be released later Monday, Tang said at the Hong Kong Economic Summit which was opened Monday morning."
Edwards Hits Bush on Overtime Pay Rules,"RACINE, Wis. Aug. 23, 2004 - John Edwards chose the almost evenly divided state of Wisconsin to tout the Democratic presidential ticket #39;s economic plans and criticize the Bush administration #39;s new rules for overtime pay."
Hong Kong Official: Deflation Run Is Over,"Financial Secretary Henry Tang said Monday that Hong Kong #39;s extended streak of deflation is officially over after 68 months.  quot;According to the trend of the consumer price index of the past few months, I believe "
Presidential plans fail on good-tax basics,"If taxes are the price of civilization, election year is the time for bargain hunting. Over the past few months, President Bush and Sen. John Kerry, D-Mass."
Steel Shares Dive On Price Cuts,"MUMBAI, AUG 23: Shares of steel firms fell in the range of 4 to 7 per cent early on Monday after top producers slashed prices amid government concerns about spiralling inflation, traders said."
BMO to lead off banks #39; quarterly results reports,Canada #39;s major banks begin reporting third-quarter earnings this week and analysts will be looking to see whether they can repeat the strong showing from the second quarter.
UPDATE: Woolworths Profit Up 12; CEO Departure Delayed,"SYDNEY (Dow Jones)--Australian retail heavyweight Woolworths Ltd. (WOW.AU) Monday said annual net profit rose 12 to A\$731 million, and predicted solid growth this "
Abbey Staff to Learn Scale of Takeover Job Cuts,Abbey National staff were today expected to discover how many jobs will go in the banks planned takeover by Spanish group Santander Central Hispano.
Philips Leads Europe Shares Up; ARM Down," LONDON (Reuters) - Philips Electronics, a rally on Wall  Street, and tamer oil prices lifted European shares on Monday,  but trading volumes and corporate news are remain thinned by  the holidays."
This house has everything.,Now buyers can use technology and databases to get a more complete view of a house without driving 30 miles to see it.
"After shakeout, medical websites find new health","When a 32-year-old patient with rapid heart palpitations showed up in the emergency room at Massachusetts General Hospital saying she suffered from Holt-Oram Syndrome, Dr. Jonathan Adler had no idea what this syndrome was. But he knew he had to work quickly. Using his computer, he looked up a comprehensive description on eMedicine.com, a Nebraska-based Web database of various diseases ..."
"Despite travel slump, online firms flourish","Remember that economic downturn? 9/11? The war in Iraq? Spiking oil prices, and airline fuel surcharges?"
"To installers of car stereos, auto systems sound fishy","When Derek Kenney unhooked the radio in a customer's 2000 Cadillac Sedan DeVille DTS, music wasn't the only thing that stopped coming out of the car."
Back to school with gadgets galore,"Back-to-school shopping used to be pretty low-tech. You'd get pencils, a notebook with blue-lined paper, some clothes, and maybe a new backpack."
Numbers in dispute as OT rules kick in,"WASHINGTON -- Paychecks could surge or shrink for a few or for millions of workers across the country starting today, when sweeping changes to overtime pay rules take effect."
Rosy forecasts slipping as oil prices rise,"WASHINGTON -- High oil prices, a factor in virtually all US recessions over the past three decades, are surging again this year. And the higher crude oil prices climb, the more risk energy costs pose to what, until recently, many expected to be a banner year for the US economy."
"Music stores lack excitement, executive says",SAN DIEGO -- Music mogul Clive Davis has some advice for retailers looking to persuade music fans to return to traditional record shops: Make shopping more fun.
Doctors online,"Physicians constitute a significant audience for online medical services, according to a survey done in June and July of 1,013 practicing doctors:"
"UK Stocks Advance, Paced by British Airways and Rentokil","UK stocks advanced, paced by British Airways Plc after the airline averted a strike by some of its staff. Rentokil Initial Plc, the world #39;s biggest pest control business, gained after "
Australia #39;s Virgin Blue increases fuel surcharge after oil hikes,SYDNEY : Australian airline Virgin Blue announced it was sharply increasing a fuel surcharge imposed in May to compensate for rising world oil prices.
"Abbey staff loss will be  quot;under 4,500 quot;","Santander Central Hispano is expected to announce that headcount at Abbey National will not drop by more than 4,500 in the three years after its takeover, a source familiar with the situation says."
Billabong sees big swell,ICONIC surf wear group Billabong International Ltd expects its wave of success to continue with expectations of net profit and earnings per share to rise about 20 per cent in 2004/05.
"BHP, Alcoa plan \$138m JV sale","GLOBAL miner BHP Billiton Ltd and the world #39;s largest aluminium producer, Alcoa Inc, plan to raise up to \$US100 million (\$138 million) in calendar 2004 by selling shares in their metal-processing "
INTERVIEW: Australia #39;s Evans  amp; Tate Aims For 10 Growth,PERTH (Dow Jones)--Australian winemaker Evans  amp; Tate Ltd. (ETW.AU) said Monday it is aiming for profit growth of at least 10 in the current year as it expands sales in its key markets across Australia and the UK.
New overtime rules are mostly bad news for employees,"Q: I keep hearing about these supposed new rules for overtime pay and I am confused. Are there new rules, and if so, what are they?"
Philips Leads Europe Shares Up; ARM Down (Reuters),"Reuters - Philips Electronics, a rally on Wall\Street, and tamer oil prices lifted European shares on Monday,\but trading volumes and corporate news are remain thinned by\the holidays."
"Oil Retreats, Lifts Asian Stocks","Crude oil prices hovered nearly five percent below a 21-year high Monday, lifting most Asian shares and giving investors some respite from concerns that energy costs would choke off profits and economic growth."
UPDATE: Australia #39;s Fortescue Signs China Railway Group,"PERTH (Dow Jones)--Signing up China #39;s biggest construction company, Fortescue Metals Group Ltd. (FMG.AU) on Monday inched closer to realizing its A\$1."
ARM buys US tech firm Artisan,"Semiconductor designer ARM Holdings ARM.L has agreed to buy US technology firm Artisan ARTI.O for \$913 million (503.3 million pounds), to boost its product range, but "
INTERVIEW: Australia #39;s Billabong On Acquisition Trail,MELBOURNE (Dow Jones)--Australian surfwear company Billabong International Ltd. (BBG.AU) said Monday it will need to consider more acquisitions as part of an effort to bolster the range of products it sells.
"ADV: \$150,000 Mortgage for Under \$690/Month",Mortgage rates are at record lows. Save \$1000s on your mortgage payment. Free quotes.
Productivity Growth Slows to 1.8 Percent," WASHINGTON (Reuters) - U.S. business productivity grew more  slowly in the third quarter than first thought, climbing at a  revised 1.8 percent annual rate, a government report showed on  Tuesday, while growth in unit labor costs was nudged up to a  1.8 percent pace."
"Referendum confirmed, Chvez looks ahead","CARACAS - Venezuelan leader Hugo Chvez urged his foes to accept their defeat and move on yesterday, after an audit of last week #39;s recall referendum confirmed the president #39;s victory."
Truckers #39; Strike Enters Third Day,"A nationwide truckers #39; strike to protest a proposed service tax entered its third day Monday, causing food prices to rise on fears of possible shortages."
UPDATE: Singapore Tiger Airways To Start Flights In Sep,"SINGAPORE (Dow Jones)--Tiger Airways, Singapore Airlines Ltd. #39;s (S55.SG) 49-owned budget affiliate, Monday said it will start flights in September, with initial services to Bangkok."
"Colgate to Cut Work Force, Close Plants"," NEW YORK (Reuters) - Consumer goods maker Colgate-Palmolive  Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CL.N target=/stocks/quickinfo/fullquote""&gt;CL.N&lt;/A&gt; said on Tuesday it would cut about 12 percent of its  37,000-person work force and close one-third of its factories  worldwide as part of a four-year restructuring."
"Tower of gas fire diminshes, but worried evacuees can stay in &lt;b&gt;...&lt;/b&gt;",three days after they were evacuated when a tower of flames erupted from a nearby natural gas storage cavern. Officials 
The Call Is Cheap. The Wiretap Is Extra.,"At first glance, it might seem like the simple extension of a standard tool in the fight against the bad guys. But in fact, wiretapping Internet phones to monitor criminals and terrorists is "
Chain Store Sales Slip in Latest Week (Reuters),"Reuters - Chain store retail sales continue to\fall during the week following the Thanksgiving holiday, a\retail report said on Tuesday."
Volkswagen Says It Will Not Increase Wages,Automaker Volkswagen said Monday there is  quot;no room quot; for wage increases this year as it prepares for pay talks with Germany #39;s largest industrial union.
Boom in house prices is  #39;well and truly over #39;,"The tide has  quot;definitely quot; turned against the seller in the housing market, a leading property expert said today as he published figures showing that prices have fallen for two consecutive months."
J J Report Lifts Guidant Shares (Reuters),Reuters - Shares of medical device maker Guidant\Corp. jumped on Tuesday after a report saying the\company was in advanced talks to be acquired by health products\maker Johnson   Johnson  for more than  #36;24 billion.
Singapore Budget Carrier Set to Take Off,"Singapore Airlines #39; low-cost arm raised the stakes Monday in the battle for budget travelers, saying it is ready for a price war as it prepares to begin services next month."
Area Job Growth Outpaces Nation's,"In percentage terms, Maryland, Virginia and the District saw much stronger levels of job creation in July than the nation as a whole."
"After 38 Years, Valenti Prepares To Move On","Jack Valenti took a break from cleaning out his office the other day to expound on a subject he knows well: the art of persuasion. Over minestrone soup and hummus at his usual table at the restaurant in the Hay Adams Hotel, Valenti, the 82-year-old dean of Washington lobbyists, reflected on how Washington has changed and how lobbyists should operate here."
A Curved Path for an Innovative Museum," It looked good on paper: Use huge, golden-colored limestone rocks to make an overhang 130 feet above the entrance of the National Museum of the American Indian on the Mall. It would look like the overhang in a Southwest canyon. No ugly, concrete columns underneath: It would seem as though suspended in air."
Stock Futures Rise as Oil Prices Ease (Reuters),Reuters - U.S. stocks pointed to a slightly\higher open on Monday as investors seek bargains and oil prices\stay below last week's record high of nearly  #36;50 a barrel.
Stock Futures Rise as Oil Prices Ease, NEW YORK (Reuters) - U.S. stocks pointed to a slightly  higher open on Monday as investors seek bargains and oil prices  stay below last week's record high of nearly \$50 a barrel.
Stocks to Watch on August 23," NEW YORK (Reuters) - U.S. stocks to watch: ARTISAN  COMPONENTS INC &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ARTI.O target=/stocks/quickinfo/fullquote""&gt;ARTI.O&lt;/A&gt; British semiconductor designer ARM  Holdings Plc &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ARM.L target=/stocks/quickinfo/fullquote""&gt;ARM.L&lt;/A&gt; agreed to buy U.S. technology firm Artisan  for \$913 million, to boost its product range, but ARM shares  slumped on Monday on concerns it had overpaid. Artisan shares  ended at \$23.88 on Nasdaq on Friday.  "
Election monitors work to build nations #39; trust,"One of the primary goals of modern society is to enhance a worldwide commitment to democracy. With so many national differences concerning preferred electoral processes, it helps to have a general definition of a democratic government."
Group: Google governance flawed,"Google Inc. ranks lower in corporate governance than any company in the Standard  amp; Poor #39;s 500 stock index, according to influential proxy adviser Institutional Shareholder Services, said a newspaper report published Monday."
Hometrack survey reveals falling house prices,"Signs of a housing slowdown are now beginning to surface across the UK as a fall in the number of new buyers has now created a surplus of properties, suggests the latest Hometrack house price survey."
Google Wins Fans With IPO Gains,"If you say you #39;re going to sell your old car for \$12,000, and you end up selling it for \$8,000, are you a success or a failure?"
KMart to Sell 18 Stores to Home Depot (Reuters),Reuters - Retailer Kmart Holdings Corp. (KMRT.O)\on Monday said it finalized a deal to sell 18 of its stores to\Home Depot Inc. (HD.N) for  #36;271 million.
UPDATE:Philippine Officials Play Dn Arroyo Crisis Remark,"MANILA (Dow Jones)--President Gloria Macapagal Arroyo Monday caused a stir in local markets by saying the Philippines is in the midst of a  quot;fiscal crisis, quot; but finance "
Singer  amp; Friedlander First-Half Net Slips 9 on Costs (Update3),"Singer  amp; Friedlander Group Plc, a UK investment bank, said first-half profit slipped 9 percent as costs related to the acquisition of an Isle of Man trust business rose and the company appointed a new chief executive."
Country House Market Stages Recovery,"The country house market staged a recovery during the first half of the year following a revival of City bonuses and increasing confidence in the economy, figures showed today."
"Dollar Bounces; Eye on Data, Greenspan",The dollar bounced off recent four-week lows against the euro and yen on Monday in thin August trade with investors focusing on US data and a speech by the Federal Reserve chief later in the week.
Medarex to Start Phase III Trial,Biopharmaceutical company Medarex Inc. said Monday that it reached a special protocol assessment agreement with the Food and Drug Administration to start a late-stage clinical trial for its MDX-010 drug as a combination treatment for melanoma patients.
"Alcoa, BHP Billiton to sell shares in Integris Metals IPO","NEW YORK, August 23 (New Ratings) - Alcoa Inc (AA.NYS) and BHP Billiton have announced their plans for an initial public offering filing for their metal processing and distribution joint venture, Integris Metals Corporation."
EDS picks Siebel as its preferred CRM vendor,"Electronic Data Systems Corp. (EDS) is beginning to implement a new vendor-relationship strategy emphasizing deeper alliances with fewer vendors. On Monday, it plans to name Siebel Systems Inc. as the first company with which it is forging a closer partnership."
Indian state-owned banks brace for a strike over pay,"MUMBAI State Bank of India, the nation #39;s largest lender, and its 26 state-owned rivals face a nationwide walkout on Tuesday by about one million employees who are demanding that banks double a proposed wage increase."
UK #39;s Glaxo Says Wins Against Teva,"GlaxoSmithKline Plc, Europe #39;s biggest drugmaker, said on Monday a US court had ruled in its favor in patent litigation with Israel #39;s Teva Pharmaceuticals over anti-nausea drug Zofran."
AUSTRALIA: Woolworths posts higher H2 profit,Australian supermarket group Woolworths has reported a 12 increase in second-half profit despite tough competition from rival Coles Myer.
Asian Stocks Rise as Oil Drops From Record; Honda Leads Advance,"Asian stocks rose after oil prices fell from a record on Friday, easing concern higher energy costs will damp consumer spending and corporate profits."
Before-the-Bell: FedEx Up After Outlook (Reuters),"Reuters - Shares FedEx Corp. (FDX.N) rose before\the bell on Monday, after the express shipping company raised\its earnings forecast for the first quarter and the full year,\citing strong demand for its services."
Before-the-Bell: FedEx Up After Outlook," NEW YORK (Reuters) - Shares FedEx Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=FDX.N target=/stocks/quickinfo/fullquote""&gt;FDX.N&lt;/A&gt; rose before  the bell on Monday, after the express shipping company raised  its earnings forecast for the first quarter and the full year,  citing strong demand for its services."
Pay-Per-View Revenue Boosts WWE Profit," NEW YORK (Reuters) - World Wrestling Entertainment Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WWE.N target=/stocks/quickinfo/fullquote""&gt;WWE.N&lt;/A&gt;, a producer of wrestling entertainment programs  including ""SmackDown"" and ""WrestleMania,"" reported higher  quarterly profit on Monday, helped by increased pay-per-view  revenue."
ARM to Buy Artisan Components for About \$913 Million (Update6),"ARM Holdings Plc, whose chip designs are used in iPod digital music players, agreed to buy Artisan Components Inc. for about \$913 million."
Oil Holds at \$47 as Iraq Resumes Exports,"Oil prices held just below the \$47 mark on Monday as Iraq resumed exports from both its northern and southern outlets after lengthy disruption, despite fierce fighting in the holy city of Najaf."
KMart to Sell 18 Stores to Home Depot,"Retailer Kmart Holdings Corp. (KMRT.O: Quote, Profile, Research) on Monday said it finalized a deal to sell 18 of its stores to Home Depot Inc."
Choose  #39;The Apprentice #39;, #39;You #39;re Fired! quot; Everyone knows Donald Trump #39;s weekly mantra from his NBC reality show. Most fans also know who won the fight for supremacy as 16 wannabes -- eight women and eight men -- competed in the corporate jungle of New York.
Southwest to cut 88 flights in October,Newspaper says largest US discount carrier could boost annual revenue by \$60 million as a result. NEW YORK (Reuters) - Southwest Airlines Inc.
"FedEx Hikes Profit Forecast, Cites Demand","FedEx Corp. (FDX.N: Quote, Profile, Research) on Monday raised its earnings forecast for the fiscal first quarter and full year, citing strong demand for its international express, ground and less-than-truckload services."
WHO Urges ASEAN to Curb Tobacco Trade,"The World Health Organization is urging Southeast Asian nations to strengthen curbs on tobacco trade. Shigeru Omi, the WHO regional director for the Western Pacific, told a conference of the Association of "
Wal-Mart Lowers August Sales Forecast (AP),"AP - Wal-Mart Stores Inc., the world's biggest retailer, lowered its sales forecast for August, citing Hurricane Charley's swipe across Florida and slower than expected back-to-school sales."
Before-the-Bell: Wal-Mart Edges Lower," NEW YORK (Reuters) - Shares of Wal-Mart Stores Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WMT.N target=/stocks/quickinfo/fullquote""&gt;WMT.N&lt;/A&gt;  ticked lower on Monday after the world's largest retailer cut  its August sales forecast."
GM Recalling Aveo Cars for Safety Belt Fix," DETROIT (Reuters) - General Motors Corp. is recalling more  than 32,000 of its Chevrolet Aveo subcompact cars because of a  potential problem with their rear seat safety belts."
HBOS calls for bank tie-up probe,HBOS asks the European Commission to look at Spanish bank BSCH's relationship with the Royal Bank of Scotland.
Artisan Rallies on Buyout,Artisan Components (ARTI:Nasdaq - news - research) shot up in Monday #39;s premarket session after the UK #39;s ARM Holdings (ARMHY:Nasdaq - news - research) announced it would buy the company for cash and stock that was worth nearly \$34 a share at Friday #39;s close 
"Dollar gains, bonds sink","Traders buy dollars sold off in recent sessions; await Greenspan speech, data due later in the week. NEW YORK (CNN/Money) - The dollar rose higher from recent lows against the euro and the yen Monday, while "
Yukos plunges on fears of asset sales,Talk intensifies that oil company will sell its key Siberian unit for low price to pay back taxes. MOSCOW (Reuters) - Shares of Russian oil company Yukos fell Monday as fears intensified that the firm #39;s key 
Drug Approvals Spark Mylan Labs,"The Pittsburg-based generic drugmaker said the Food and Drug Administration has approved its metoprolol tartrate and hydrochlorothiazide tablets, which will compete with the Loppressor HCT tablets made by the Switzerland-based Novartis."
Toys R Us Posts Second-Quarter Profit (Reuters),"Reuters - Toys R Us Inc. (TOY.N), which is\considering getting out of the toy business, on Monday posted a\second-quarter profit as it works to restructure its toy\stores."
Toys R Us Posts Second-Quarter Profit," NEW YORK (Reuters) - Toys R Us Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TOY.N target=/stocks/quickinfo/fullquote""&gt;TOY.N&lt;/A&gt;, which is  considering getting out of the toy business, on Monday posted a  second-quarter profit as it works to restructure its toy  stores."
"Federal Express Hikes Profit Forecast, Cites Demand","Federal Express raised its earnings forecast, citing strong demand for its international express, ground and less-than-truckload services."
Wal-Mart Lowers August Sales Forecast,"BENTONVILLE, Ark. Aug. 23, 2004 - Wal-Mart Stores Inc., the world #39;s biggest retailer, lowered its sales forecast for August, citing Hurricane Charley #39;s swipe across Florida and slower than expected back-to-school sales."
"FedEx raises first quarter, full-year outlook","NEW YORK - FedEx Corp. Monday raised its earnings forecast for the first quarter ending this month and for the full fiscal year, citing strong demand for its international express, ground and less-than-truckload services."
Stocks to Watch on August 23,"US stocks to watch: ARTISAN COMPONENTS INC (ARTI) British semiconductor designer ARM Holdings Plc agreed to buy US technology firm Artisan for \$913 million, to boost its product range, but ARM shares slumped on Monday on concerns it "
HBOS to complain over SCH Abbey bid,HBOS HBOS.L says it will write to the European Commission to complain about Santander Central Hispano #39;s continuing ties to Royal Bank of Scotland despite the Spanish bank #39;s bid for Abbey National.
"Transporters stir: ESMA invoked in Delhi, Gujarat",The nationwide indefinite strike of truck operators entered the second day today due to the deadlock in talks between the Finance Ministry and truck operators associations.
"Alcoa-Billiton venture, Integris Metals, to go public","A joint venture between Alcoa Inc. and BHP Billiton has filed to go public through an offering worth as much as \$100 million, according to regulatory filings and the companies."
Retail sales climb 0.2,"Retail sales edged ahead 0.2 per cent in June as gains at auto dealers and pharmacies offset weather-related weakness in most of the nation #39;s other major sectors, Statistics Canada said Monday."
Toys 'R' Us Swings to 2Q Profit (AP),"AP - Troubled retailer Toys ""R"" Us Inc. reported Monday that the company swung to a profit in the latest second quarter, compared with a loss in the year-ago period."
Wall Street Set to Open Slightly Higher, NEW YORK (Reuters) - U.S. stock futures signaled a slightly  higher open for stocks on Monday as investors welcomed an  easing of oil prices from a record high near \$50 a barrel last  week.
Kreme-Filled Earnings,Krispy Kreme shareholders hope for a break from the badness in this week's earnings report.
"Kmart Delivers, Bad News for Bears","When will the bears admit that Kmart (KMRT:Nasdaq - commentary - research) is for real? When will they say,  quot;You know, the people who used to run Kmart were idiots and things are now better quot;?"
Wal-Mart lowers August sales forecast,Wal-Mart is reducing its forecast for same store sales for the month of August. It is blaming store closures caused by Hurricane Charley last week.
Toys  #39;R #39; Us Swings to 2Q Profit,"Troubled retailer Toys  quot;R quot; Us Inc. reported Monday that the company swung to a profit in the latest second quarter, compared with a loss in the year-ago period."
ARM shares tumble on deal for chip firm,"LONDON ARM Holdings, a British semiconductor designer, said on Monday that it would buy Artisan Components for \$913 million to broaden its product range."
Kerry attacks Bush overtime changes,"The Bush administration #39;s new overtime rules went into effect on Monday, but the Kerry campaign has already begun attacking the regulations, saying they will hurt millions of American workers."
S amp;P revises outlook for India #39;s currency rating,"Mumbai, Aug. 23. (PTI): Revising the outlook on India #39;s long-term foreign currency and local currency ratings, Standard  amp; Poor #39;s Ratings Services today warned that the local currency rating could be lowered "
Wal-Mart Says August Sales May Be Little Changed (Update4),"Wal-Mart Stores Inc., the world #39;s largest retailer, said August sales will be little changed or rise as much as 2 percent, hurt by Hurricane Charley and sluggish demand for back-to-school products."
KMart to Sell 18 Stores to Home Depot,"Retailer Kmart Holdings Corp. (KMRT.O: Quote, Profile, Research) on Monday finalized a deal to sell 18 of its stores to Home Depot Inc."
Stocks Post Early Gains As Oil Is Steady,Stocks are posting some early gains this morning. The Dow Jones Industrial Average is up 10 points in today #39;s early going. Advancing issues on the New York Stock Exchange hold a 4-3 lead over decliners.
"FedEx Raises Forecast, Stock Climbs"," NEW YORK (Reuters) - FedEx Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=FDX.N target=/stocks/quickinfo/fullquote""&gt;FDX.N&lt;/A&gt; on Monday raised  its earnings forecast for the fiscal first quarter and full  year, citing strong demand for its international express,  ground and less-than-truckload services."
Stocks Open Slightly Higher as Oil Eases, NEW YORK (Reuters) - U.S. stocks showed small gains at the  open on Monday as easing oil prices alleviated investors' worry  about the effect of higher fuel costs on corporations and  consumers.
Toys R us Posts Net Profit," NEW YORK (Reuters) - Toys R Us Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TOY.N target=/stocks/quickinfo/fullquote""&gt;TOY.N&lt;/A&gt;, which is  considering getting out of the toy business, on Monday posted a  second-quarter net profit, reversing a year-earlier loss, as it  works to restructure its toy stores."
Southwest Airlines to Cut 88 Flights," NEW YORK (Reuters) - Southwest Airlines Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=LUV.N target=/stocks/quickinfo/fullquote""&gt;LUV.N&lt;/A&gt;, the  largest U.S. discount carrier, on Monday said it will eliminate  88 scheduled flights in order to boost revenue by freeing up  planes for more lucrative markets."
Audit of Venezuelan vote backs Chavez,"An audit of Venezuela #39;s referendum results has confirmed that President Hugo Chavez won the poll fairly and found no evidence to support the opposition #39;s claims of widespread vote-rigging, international observers said "
Columnist quits over plagiarism,"A BUSINESS columnist has resigned from The Seattle Times after admitting he plagiarised the work of other journalists. Stephen H Dunphy #39;s resignation followed an internal investigation, the paper #39;s executive editor said in a column published on Sunday."
Treasuries Lower in Data Vacuum (Reuters),Reuters - U.S. Treasuries prices were sucked\lower on Monday as speculators took advantage of a vacuum of\economic news to test the bearish side of recent tight trading\ranges.
Cartel inquiry claims Amcor chief,The boss of packaging company Amcor has quit his post amid a growing scandal over allegations of price-fixing. Amcor said chief executive Russell Jones - along with top divisional head Peter Sutton - had both resigned.
Treasuries Lower in Data Vacuum, NEW YORK (Reuters) - U.S. Treasuries prices were sucked  lower on Monday as speculators took advantage of a vacuum of  economic news to test the bearish side of recent tight trading  ranges.
YUKOS Cuts 2004 Forecast by 4.5 Percent, MOSCOW (Reuters) - Russian oil major YUKOS on Monday cut  its oil output forecast for this year by 4.5 percent and said  it would slash capital expenditure by more than a third due to  its tax dispute with the state.
Wal-Mart Lowers August Sales Forecast,Wal-Mart had previously expected same-store sales to grow between 2 percent and 4 percent during the month. Today it gave a range from flat to up 2 percent.
"Santander to Cut 3,000 Jobs at Abbey After Takeover (Update1)","Santander Central Hispano SA, which last month offered 8.2 billion pounds (\$14.9 billion) to buy the UK mortgage lender Abbey National Plc, said it will eliminate 3,000 jobs at the British company."
UK #39;s ARM to buy Artisan of US,British semiconductor designer ARM Holdings said Monday it has agreed to buy US technology firm Artisan Components for \$913 million in cash and stock to boost its product range and reach more customers.
Toys R Us Swings to Profit,Toys R Us (TOY:NYSE - news - research) swung to a second-quarter profit after revealing recently that it was considering exiting its namesake business.
Playboy plan for a private lifestyle club in Shanghai,"ICONIC brand Playboy plans to open a private club in Chinas commercial capital of Shanghai in a first for the communist nation, which still bans the companys flagship mens magazine."
"Toys  quot;R quot; Us Posts 2Q Profit, Sales Fall","Toys  quot;R quot; Us Inc. swung to a profit in the second quarter from a loss a year ago, buoyed by a reversal of \$200 million in income tax reserves."
The Economy Is Killing Overtime,NEW YORK - The effect of new US overtime rules that go into effect today are the subject of intense dispute between labor groups and the Bush administration.
Southwest Airlines to Cut 88 Flights,"Southwest Airlines Inc. (LUV.N: Quote, Profile, Research) , the largest US discount carrier, on Monday said it will eliminate 88 scheduled flights in order to boost revenue by freeing up planes for more lucrative markets."
FedEx Ups Profit Estimates,"FedEx (FDX ) raised raised its 2005 profit forecast for a second time. The package-delivery giant sees \$4.40 to \$4.60 earnings per share, vs."
Blue Chips Flat After Wal-Mart News," NEW YORK (Reuters) - U.S. blue chips were little changed on  Monday as a disappointing sales forecast from Wal-Mart Stores  Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WMT.N target=/stocks/quickinfo/fullquote""&gt;WMT.N&lt;/A&gt;, the world's biggest retailer, offset the effect  of easing oil prices."
